Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2016,1043.70,1045.00,1009.00,1012.00,1020.160672868540380285,354839,15320,361992793.00,105088,29.62,36.00,-31.70
9-March-2016,1019.00,1044.00,1017.35,1041.95,1033.748933497557036469,367791,11771,380203554.00,102896,27.98,26.65,22.95
8-March-2016,1006.00,1031.00,1006.00,1027.15,1021.890341554456892123,424354,13337,433643254.00,148281,34.94,25.00,21.15
4-March-2016,1017.00,1018.00,1003.75,1006.50,1008.897172716757924003,2911912,6987,2937819784.00,2688418,92.32,14.25,-10.50
3-March-2016,1007.25,1017.25,997.55,1012.55,1008.873301042125348598,340650,11815,343672690.00,104736,30.75,19.70,5.30
2-March-2016,992.50,1005.25,987.50,1001.20,998.647715195596321962,529739,12416,529022642.00,303733,57.34,17.75,8.70
1-March-2016,967.50,985.00,965.00,982.25,979.622700262002571922,311829,10931,305474767.00,104509,33.51,20.00,14.75
29-February-2016,951.10,993.00,936.30,966.55,959.368465421585059020,999988,22873,959356953.00,372718,37.27,56.70,15.45
26-February-2016,950.00,958.50,944.95,950.50,951.424967460208165821,225109,6121,214174323.00,65338,29.03,13.55,0.50
25-February-2016,957.00,957.00,941.70,944.40,947.621349046885370959,332961,6898,315520952.00,180413,54.18,15.30,-12.60
24-February-2016,946.30,959.00,942.55,952.55,954.391241650081741214,1457649,9209,1391167439.00,1262542,86.61,16.45,6.25
23-February-2016,964.00,966.90,943.05,950.70,957.701145800366406497,1794728,9348,1718813062.00,1569863,87.47,23.85,-13.30
22-February-2016,945.90,967.90,945.05,962.45,961.502119979896742358,218870,7756,210443969.00,46690,21.33,22.85,16.55
19-February-2016,941.15,952.45,937.80,944.55,945.183978986721670749,186168,7112,175963011.00,21374,11.48,14.65,3.40
18-February-2016,962.00,967.75,936.30,941.15,950.803049717040797049,243498,9004,231518641.00,41642,17.10,31.45,-20.85
17-February-2016,933.40,956.00,917.10,952.45,937.878956456066132708,365447,12080,342745051.00,60239,16.48,38.90,19.05
16-February-2016,952.80,958.00,927.00,929.65,942.267545928641839553,307379,10116,289633256.00,33676,10.96,31.00,-23.15
15-February-2016,921.00,949.95,920.00,944.65,939.911597122700618245,288882,9957,271523542.00,59296,20.53,29.95,23.65
12-February-2016,931.05,933.00,888.50,906.30,907.509568472038749449,681300,23393,618286269.00,159288,23.38,44.50,-24.75
11-February-2016,963.00,966.00,916.25,922.45,937.678876741769611282,563005,17182,527917896.00,168980,30.01,49.75,-40.55
10-February-2016,951.25,972.90,948.95,962.40,962.948940020682523267,495104,10785,476759872.00,208627,42.14,23.95,11.15
9-February-2016,951.10,968.50,950.35,956.60,961.092405482686326973,359167,13866,345192676.00,65476,18.23,18.15,5.50
8-February-2016,971.90,984.25,957.70,961.60,972.945803680194909277,311940,10638,303500714.00,81347,26.08,26.55,-10.30
5-February-2016,976.30,982.00,963.00,972.30,971.212605992257297815,329859,11897,320363219.00,43016,13.04,19.00,-4.00
4-February-2016,990.00,1000.00,968.00,973.95,982.266402183135735088,305249,12485,299835837.00,46843,15.35,32.00,-16.05
3-February-2016,988.10,993.20,975.00,980.70,984.315158741210053609,344712,10610,339305247.00,70638,20.49,18.20,-7.40
2-February-2016,1031.00,1032.00,990.30,1002.00,1012.893933037295338763,367070,11152,371802976.00,103173,28.11,41.70,-29.00
1-February-2016,1040.00,1041.00,1025.15,1028.10,1032.208104389261868922,216574,7112,223549438.00,44724,20.65,15.85,-11.90
29-January-2016,1020.00,1039.40,1018.85,1035.05,1031.594346375320055126,280811,10044,289683040.00,87594,31.19,20.55,15.05
28-January-2016,1000.00,1021.75,997.75,1016.90,1009.912860607014356325,279598,10218,282369616.00,84484,30.22,24.00,16.90
27-January-2016,1007.95,1009.70,996.15,999.35,1003.407951987996999249,213280,8067,214006848.00,73187,34.31,13.55,-8.60
25-January-2016,1008.20,1018.40,1000.15,1004.80,1009.965519363902325985,276184,9008,278936317.00,68788,24.91,18.25,-3.40
22-January-2016,995.00,1010.15,994.75,1003.95,1003.456551792238570158,344318,12402,345508153.00,63959,18.58,15.40,8.95
21-January-2016,1016.30,1025.70,978.15,984.90,993.948776672936799019,921299,29044,915724014.00,128409,13.94,47.55,-31.40
20-January-2016,1040.50,1040.50,990.50,1004.35,1008.483926891342164222,1181912,39978,1191939255.00,253635,21.46,50.00,-36.15
19-January-2016,1025.00,1049.00,1015.20,1043.60,1036.090254581314391425,539474,16545,558943754.00,130857,24.26,33.80,18.60
18-January-2016,1073.05,1082.45,1010.10,1018.00,1049.190728947345619644,577065,17691,605451248.00,127804,22.15,72.35,-55.05
15-January-2016,1070.00,1089.50,1066.00,1073.15,1081.107711448031545874,806191,23298,871579307.00,274625,34.06,23.50,3.15
14-January-2016,1062.10,1081.00,1052.40,1061.20,1067.513988451827332480,590916,15788,630811096.00,117342,19.86,28.60,-0.90
13-January-2016,1054.80,1087.40,1019.35,1077.35,1059.947470611376432417,1418406,27783,1503435852.00,482983,34.05,68.05,22.55
12-January-2016,1054.00,1065.00,1041.05,1045.10,1052.989161410988835654,451258,14934,475169783.00,104846,23.23,23.95,-8.90
11-January-2016,1011.00,1059.95,1011.00,1051.55,1048.107563667094635224,861434,22283,902875491.00,287653,33.39,48.95,40.55
8-January-2016,1019.00,1032.15,1000.05,1024.05,1003.965622274220757993,7008317,27081,7036109338.00,6184723,88.25,32.10,5.05
7-January-2016,1023.80,1027.60,1008.25,1011.55,1015.483768218869395503,374543,9578,380342337.00,53481,14.28,19.35,-12.25
6-January-2016,1005.00,1038.00,1000.55,1031.95,1027.955139102782055641,949981,31274,976537851.00,305282,32.14,37.45,26.95
5-January-2016,1002.00,1010.00,996.85,1005.10,1004.668569353618102901,294671,5588,296046692.00,102135,34.66,13.15,3.10
4-January-2016,1006.00,1014.20,987.30,995.40,999.484352786822937794,273627,8604,273485905.00,49267,18.01,26.90,-10.60
1-January-2016,1010.00,1020.00,1008.75,1015.35,1016.567151052207124271,328595,6141,334038883.00,179023,54.48,11.25,5.35
31-December-2015,1004.00,1017.00,1000.00,1012.60,1009.307692307692307692,241436,8165,243683212.00,66299,27.46,17.00,8.60
30-December-2015,1015.70,1017.00,1002.10,1004.85,1007.892416701163921327,103873,3532,104692809.00,28103,27.06,14.90,-10.85
29-December-2015,1013.00,1018.50,1007.50,1015.15,1013.894281938927557303,248983,6346,252442440.00,119230,47.89,11.00,2.15
28-December-2015,1004.00,1013.55,1001.00,1008.55,1008.699293722357458771,291670,7068,294207323.00,114899,39.39,12.55,4.55
24-December-2015,1005.50,1008.00,996.10,1000.90,1000.791003285317159464,146409,5043,146524810.00,50625,34.58,11.90,-4.60
23-December-2015,993.40,1006.00,990.90,1003.55,1003.508969587526701755,227045,7718,227841694.00,77454,34.11,15.10,10.15
22-December-2015,991.10,1002.50,984.00,987.50,993.857713947290494521,263406,6907,261788085.00,71015,26.96,18.50,-3.60
21-December-2015,988.55,998.20,985.00,992.25,991.460633670021097440,267805,7715,265518115.00,58657,21.90,13.20,3.70
18-December-2015,1003.00,1009.00,990.15,992.05,997.991494344728273984,252773,7715,252265304.00,67770,26.81,18.85,-10.95
17-December-2015,980.25,1013.25,978.00,1008.35,995.029135174671728605,574220,14343,571365630.00,251885,43.87,35.25,28.10
16-December-2015,973.40,986.90,973.40,978.00,980.686984110056521275,187540,6813,183918037.00,44272,23.61,13.50,4.60
15-December-2015,956.00,977.90,953.00,975.90,969.141487026233703584,244609,9608,237060730.00,72164,29.50,24.90,19.90
14-December-2015,946.50,962.70,946.50,955.45,955.868679778065969454,252147,6800,241019420.00,52815,20.95,16.20,8.95
11-December-2015,950.10,958.85,942.90,952.25,950.744178075722123717,370539,10566,352287797.00,118416,31.96,15.95,2.15
10-December-2015,921.15,953.40,920.25,949.90,939.805146151314436170,388912,12770,365501499.00,139056,35.76,33.15,28.75
9-December-2015,940.00,944.35,913.00,915.95,927.251705438921258342,351669,9070,326085680.00,,,31.35,-24.05
8-December-2015,950.10,954.00,937.70,942.45,946.765029376361984794,223479,6276,211582102.00,35394,15.84,16.30,-7.65
7-December-2015,967.00,972.90,951.00,953.70,957.110375930463007755,192243,6620,183997770.00,36384,18.93,21.90,-13.30
4-December-2015,973.50,976.00,961.90,965.75,967.376622740410522706,183717,5454,177723531.00,35461,19.30,14.10,-7.75
3-December-2015,977.50,988.25,973.35,976.80,981.343087121212121212,316800,6790,310889490.00,164092,51.80,14.90,-0.70
2-December-2015,966.40,978.60,965.80,976.60,972.896521944871643203,169060,6145,164477886.00,40233,23.80,12.80,10.20
1-December-2015,966.40,978.50,962.00,965.55,969.269231905552568291,169237,5572,164036217.00,41351,24.43,16.50,-0.85
30-November-2015,977.15,983.80,964.00,968.00,970.184055978279868094,171638,6091,166520451.00,31088,18.11,19.80,-9.15
27-November-2015,990.00,992.00,974.35,979.05,982.772217337165316227,169451,7269,166531735.00,39746,23.46,17.65,-10.95
26-November-2015,969.90,990.60,968.45,987.70,982.812179647299795174,300255,10162,295094271.00,110842,36.92,22.15,17.80
24-November-2015,952.05,971.00,950.75,968.00,963.714969310112339874,228414,8926,220125991.00,70704,30.95,20.25,15.95
23-November-2015,947.55,955.65,945.65,952.10,951.220989208633093525,166800,6314,158663661.00,39880,23.91,10.00,4.55
20-November-2015,935.40,952.10,925.40,945.95,943.212351998736704971,303967,7996,286705429.00,65417,21.52,26.70,10.55
19-November-2015,919.50,937.50,918.00,934.20,931.690663303686003805,225990,9021,210552773.00,71659,31.71,19.50,14.70
18-November-2015,927.00,931.65,910.00,912.35,923.139441642024699947,229960,7593,212285146.00,29227,12.71,21.65,-14.65
17-November-2015,936.70,938.70,925.95,927.50,930.775033965608727849,171497,4516,159625126.00,36529,21.30,12.75,-9.20
16-November-2015,929.00,941.80,924.70,933.05,933.338462429579859021,397081,8783,370610970.00,77005,19.39,17.10,4.05
